image;company_name;service;service_desc;contact_link;website_link
https://www.greencycle.de/wp-content/uploads/2022/10/Einkauf-Entsorgung-Teaser.jpg;GreenCycle;Waste Management;GreenCycle is an internationally active waste management company, as well as a driver of innovation in the areas of recyclables, energy management and logistics solutions.;https://www.greencycle.de/kontakt/;https://www.greencycle.de/?lang=en
https://www.cnet.com/a/img/resize/7b52bfc761be092a0535dc3f6ca8608ba9c9d187/hub/2021/11/15/06bb6b10-bb38-451f-a4c2-49bff6911188/0x0-solarpanels-04.jpg?auto=webp&width=1200;Tesla;Solar Panels Installation;Use solar energy to power your home and reduce your dependence on the grid. Purchase solar at the lowest price of any national provider with Tesla's price match guarantee and take control of your monthly electricity bill. Schedule a virtual consultation with a Tesla Advisor to learn more;https://www.tesla.com/solar-virtual-consultations;https://www.tesla.com/solarpanels
https://www.clearesult.com/sites/default/files/styles/atlas_image/public/2022-12/IMG-BIZ-WWS_0.png?itok=hEL_qiiO;CLEAResult;Energy Audit and Efficiency Consulting;Prioritizing sustainability boosts stock price, peer perception, and management. Get our energy playbook for businesses and tap into our diverse experience, from real estate developers to Fortune 500 companies. Gain a competitive edge now.;https://www.clearesult.com/contact;https://www.clearesult.com/
https://councilmagazine.com.au/wp-content/uploads/2019/02/shutterstock_446979544-e1549346043383-1038x612.jpg;ZeroEnergyProject;Zero Energy Home Professional;Looking for zero-energy home professionals? Find experienced builders, designers, and energy consultants in this directory. Verify their certification and discover modular home and panelized home manufacturers offering products used in zero-energy homes. Start your search for the right construction professional for your project.;https://zeroenergyproject.com/contact/;https://zeroenergyproject.com/
https://media.greenmatters.com/brand-img/gxcK_Dq89/0x0/environmentally-friendly-printing-ideas3-1629312522899.jpg;Barefoot Press;eco-friendly printing;Green printing – eco-friendly printing with soy ink on recycled paper. Barefoot Press is the original green printer in Raleigh., NC.;https://barefootpress.com/contact/;https://barefootpress.com/
https://blog.pinclick.com/wp-content/uploads/2017/11/modern-green-home-zero-energy-design-amazing-design-home-with-garden-on-the-roof-and-swimming-pool-with-bed-chair-for-tanning-and-have-white-style-paint.jpg;Danfoss;Energy-Efficient Homes;Energy efficiency plays a significant role in the battle against climate change. By using our energy smarter, we can break the curve on energy-demand and deliver one-third of the total emissions reductions needed to reach net zero, as pointed out by the International Energy Agency (IEA);https://www.danfoss.com/en/contact-us/;https://www.whyenergyefficiency.com/
https://makemesustainable.com/wp-content/uploads/2023/05/Ecotourism.jpg;Sustainability GoTurkiye;A travel agency providing eco-friendly and sustainable travel options;Türkiye is the ultimate destination for ethical, conscious travelers – a beautiful, untouched country passionate about sustainability that is calling out to be discovered!;https://sustainable.goturkiye.com/?gclid=CjwKCAjww7KmBhAyEiwA5-PUSk0Dn9y7XPou0GeA5Az9c9GyVFITDzxY2yJsaukbhdkVhxAflRLFwBoCGjQQAvD_BwE;https://sustainable.goturkiye.com/?gclid=CjwKCAjww7KmBhAyEiwA5-PUSk0Dn9y7XPou0GeA5Az9c9GyVFITDzxY2yJsaukbhdkVhxAflRLFwBoCGjQQAvD_BwE
https://www.sgtgroup.net/wp-content/uploads/2022/05/Risks-and-Challenges-of-Sustainable-Fabrics-in-the-Apparel-Industry-1-046514-edited.jpg;HeiQ-AeoniQ;eco-friendly fabrics;Together we can end environmental pollution from textiles, eliminate nondegradable synthetics and prevent land and water issues with cotton.;https://www.heiq-aeoniq.com/contact-us/;https://www.heiq-aeoniq.com/?utm_campaign&utm_adgroup&utm_source=google_paid&utm_medium&utm_content&utm_position&gad=1&gclid=CjwKCAjww7KmBhAyEiwA5-PUSiL2u45r6BiHG5n_N6oyYlcrFfRDePPUYaV7I6-EVUnqC56g2VD1aRoCNJMQAvD_BwE
https://cdn-cnnbe.nitrocdn.com/oOmIMnXgtzspVYXuuYPuJSdtxCjpNPYu/assets/images/optimized/rev-74bdcc6/www.ecomaids.com/wp-content/uploads/2021/01/EcomaidsWideCounter1080-768x768.jpg;Ecomaids;Eco-friendly House cleaning services;We’ll leave your home spotless and clean. No harmful chemicals and no toxins.Just a thoughtfully clean home from a team trusted by thousands of families.;https://www.ecomaids.com/contact-us/;https://www.ecomaids.com/
https://www.freightwaves.com/wp-content/uploads/2019/08/MSC-Gulsun-containership-container-ship-boxship-boxship-supplied-credit-MSC.jpg;Dan-Bunkering;Alternative fuels and CO2 reductions;As our industry is faced with new legislative mandates to reduce CO2 emissions and greenhouse gases, we experience an increasing demand for alternative fuels.;https://dan-bunkering.com/contact/;https://dan-bunkering.com/responsible-business/alternative-fuels-and-co2-reductions/?utm_source=google&utm_medium=cpc&utm_campaign=ride-the-next-wave&utm_content=alternative-fuels&gclid=CjwKCAjww7KmBhAyEiwA5-PUSsNTHnRaI4zFpUPnLTwby8g4TVOxXSrAohIwefcZomW0AWqCUjtLvhoC10wQAvD_BwE
